Date,NFCI
2021-02-05,-0.62306
2021-02-12,-0.62478
2021-02-19,-0.62658
2021-02-26,-0.62863
2021-03-05,-0.63281
2021-03-12,-0.63785
2021-03-19,-0.64328
2021-03-26,-0.64983
2021-04-02,-0.65671
2021-04-09,-0.6649
2021-04-16,-0.67172
2021-04-23,-0.67802
2021-04-30,-0.68338
2021-05-07,-0.68838
2021-05-14,-0.69054
2021-05-21,-0.69309
2021-05-28,-0.6953
2021-06-04,-0.69625
2021-06-11,-0.6955
2021-06-18,-0.69239
2021-06-25,-0.68833
2021-07-02,-0.68273
2021-07-09,-0.67599
2021-07-16,-0.66922
2021-07-23,-0.66267
2021-07-30,-0.65733
2021-08-06,-0.65266
2021-08-13,-0.64991
2021-08-20,-0.6482
2021-08-27,-0.64887
2021-09-03,-0.65001
2021-09-10,-0.65186
2021-09-17,-0.65405
2021-09-24,-0.65532
2021-10-01,-0.65568
2021-10-08,-0.65404
2021-10-15,-0.64851
2021-10-22,-0.63866
2021-10-29,-0.62415
2021-11-05,-0.60634
2021-11-12,-0.58687
2021-11-19,-0.56866
2021-11-26,-0.55247
2021-12-03,-0.54121
2021-12-10,-0.53903
2021-12-17,-0.54163
2021-12-24,-0.54871
2021-12-31,-0.55741
2022-01-07,-0.56345
2022-01-14,-0.56373
2022-01-21,-0.5573
2022-01-28,-0.54331
2022-02-04,-0.52437
2022-02-11,-0.49888
2022-02-18,-0.46914
2022-02-25,-0.43944
2022-03-04,-0.41219
2022-03-11,-0.39104
2022-03-18,-0.37905
2022-03-25,-0.3733
2022-04-01,-0.37102
2022-04-08,-0.36864
2022-04-15,-0.36195
2022-04-22,-0.35179
2022-04-29,-0.33695
2022-05-06,-0.31953
2022-05-13,-0.30084
2022-05-20,-0.28199
2022-05-27,-0.26081
2022-06-03,-0.23781
2022-06-10,-0.21338
2022-06-17,-0.1895
2022-06-24,-0.17363
2022-07-01,-0.16732
2022-07-08,-0.17055
2022-07-15,-0.18383
2022-07-22,-0.20284
2022-07-29,-0.22094
2022-08-05,-0.23408
2022-08-12,-0.24151
2022-08-19,-0.23913
2022-08-26,-0.22651
2022-09-02,-0.2055
2022-09-09,-0.17956
2022-09-16,-0.15173
2022-09-23,-0.12656
2022-09-30,-0.10788
2022-10-07,-0.10104
2022-10-14,-0.10327
2022-10-21,-0.11406
2022-10-28,-0.12945
2022-11-04,-0.14743
2022-11-11,-0.16452
2022-11-18,-0.17729
2022-11-25,-0.18501
2022-12-02,-0.18957
2022-12-09,-0.19248
2022-12-16,-0.19885
2022-12-23,-0.20883
2022-12-30,-0.2261
2023-01-06,-0.24882
2023-01-13,-0.27335
2023-01-20,-0.29432
2023-01-27,-0.31122
2023-02-03,-0.31865
2023-02-10,-0.31481
2023-02-17,-0.30029
2023-02-24,-0.27483
2023-03-03,-0.2439
2023-03-10,-0.21143
2023-03-17,-0.1799
2023-03-24,-0.16126
2023-03-31,-0.15761
2023-04-07,-0.16099
2023-04-14,-0.17242
2023-04-21,-0.18611
2023-04-28,-0.19696
2023-05-05,-0.20538
2023-05-12,-0.21203
2023-05-19,-0.21603
2023-05-26,-0.2179
2023-06-02,-0.21956
2023-06-09,-0.22047
2023-06-16,-0.22244
2023-06-23,-0.22652
2023-06-30,-0.23264
2023-07-07,-0.2414
2023-07-14,-0.25428
2023-07-21,-0.26919
2023-07-28,-0.28505
2023-08-04,-0.30239
2023-08-11,-0.31822
2023-08-18,-0.33067
2023-08-25,-0.33945
2023-09-01,-0.34504
2023-09-08,-0.34483
2023-09-15,-0.34011
2023-09-22,-0.33115
2023-09-29,-0.31891
